48|AbstractRelinkableCallSite|class in jdk.dynalink.support|jdk.dynalink/jdk/dynalink/support/AbstractRelinkableCallSite.html|A basic implementation of the RelinkableCallSite as a MutableCallSite.
49|AbstractResourceBundleProvider|class in java.util.spi|java.base/java/util/spi/AbstractResourceBundleProvider.html|AbstractResourceBundleProvider is an abstract class that provides the basic support for a provider implementation class for ResourceBundleProvider.
50|AbstractScriptEngine|class in javax.script|java.scripting/javax/script/AbstractScriptEngine.html|Provides a standard implementation for several of the variants of the eval method.
51|AbstractSelectableChannel|class in java.nio.channels.spi|java.base/java/nio/channels/spi/AbstractSelectableChannel.html|Base implementation class for selectable channels.
52|AbstractSelectionKey|class in java.nio.channels.spi|java.base/java/nio/channels/spi/AbstractSelectionKey.html|Base implementation class for selection keys.
53|AbstractSelector|class in java.nio.channels.spi|java.base/java/nio/channels/spi/AbstractSelector.html|Base implementation class for selectors.
54|AbstractSequentialList<E>|class in java.util|java.base/java/util/AbstractSequentialList.html|This class provides a skeletal implementation of the List interface to minimize the effort required to implement this interface backed by a "sequential access" data store (such as a linked list).
55|AbstractSet<E>|class in java.util|java.base/java/util/AbstractSet.html|This class provides a skeletal implementation of the Set interface to minimize the effort required to implement this interface.
56|AbstractSpinnerModel|class in javax.swing|java.desktop/javax/swing/AbstractSpinnerModel.html|This class provides the ChangeListener part of the SpinnerModel interface that should be suitable for most concrete SpinnerModel implementations.
57|AbstractTableModel|class in javax.swing.table|java.desktop/javax/swing/table/AbstractTableModel.html|This abstract class provides default implementations for most of the methods in the TableModel interface.
58|AbstractTypeVisitor14<R,P>|class in javax.lang.model.util|java.compiler/javax/lang/model/util/AbstractTypeVisitor14.html|A skeletal visitor of types with default behavior appropriate for the RELEASE_14 source version.
59|AbstractTypeVisitor6<R,P>|class in javax.lang.model.util|java.compiler/javax/lang/model/util/AbstractTypeVisitor6.html|A skeletal visitor of types with default behavior appropriate for the RELEASE_6 source version.
60|AbstractTypeVisitor7<R,P>|class in javax.lang.model.util|java.compiler/javax/lang/model/util/AbstractTypeVisitor7.html|A skeletal visitor of types with default behavior appropriate for the RELEASE_7 source version.
61|AbstractTypeVisitor8<R,P>|class in javax.lang.model.util|java.compiler/javax/lang/model/util/AbstractTypeVisitor8.html|A skeletal visitor of types with default behavior appropriate for the RELEASE_8 source version.
62|AbstractTypeVisitor9<R,P>|class in javax.lang.model.util|java.compiler/javax/lang/model/util/AbstractTypeVisitor9.html|A skeletal visitor of types with default behavior appropriate for source versions RELEASE_9 through RELEASE_14.
63|AbstractTypeVisitorPreview<R,P>|class in javax.lang.model.util|java.compiler/javax/lang/model/util/AbstractTypeVisitorPreview.html|Preview.A skeletal visitor of types with default behavior appropriate for a preview source version.
64|AbstractUndoableEdit|class in javax.swing.undo|java.desktop/javax/swing/undo/AbstractUndoableEdit.html|An abstract implementation of UndoableEdit, implementing simple responses to all boolean methods in that interface.
65|AbstractView|interface in org.w3c.dom.views|java.xml/org/w3c/dom/views/AbstractView.html|A base interface that all views shall derive from.
66|AbstractWriter|class in javax.swing.text|java.desktop/javax/swing/text/AbstractWriter.html|AbstractWriter is an abstract class that actually does the work of writing out the element tree including the attributes.
67|AcceptPendingException|class in java.nio.channels|java.base/java/nio/channels/AcceptPendingException.html|Unchecked exception thrown when an attempt is made to initiate an accept operation on a channel and a previous accept operation has not completed.
68|AccessControlContext|class in java.security|java.base/java/security/AccessControlContext.html|Deprecated, for removal: This API element is subject to removal in a future version.This class was only useful in conjunction with the the Security Manager, which is no longer supported.
69|AccessControlException|class in java.security|java.base/java/security/AccessControlException.html|Deprecated, for removal: This API element is subject to removal in a future version.This exception was only useful in conjunction with the Security Manager, which is no longer supported.
70|AccessController|class in java.security|java.base/java/security/AccessController.html|Deprecated, for removal: This API element is subject to removal in a future version.This class was only useful in conjunction with the Security Manager, which is no longer supported.
71|AccessDeniedException|class in java.nio.file|java.base/java/nio/file/AccessDeniedException.html|Checked exception thrown when a file system operation is denied, typically due to a file permission or other access check.
72|AccessException|class in java.rmi|java.rmi/java/rmi/AccessException.html|An AccessException is thrown by certain methods of the java.rmi.Naming class (specifically bind, rebind, and unbind) to indicate that the caller does not have permission to perform the action requested by the method call.
73|AccessFlag|enum class in java.lang.reflect|java.base/java/lang/reflect/AccessFlag.html|Represents a JVM access or module-related flag on a runtime member, such as a class, field, or method.
74|AccessFlag.Location|enum class in java.lang.reflect|java.base/java/lang/reflect/AccessFlag.Location.html|A location within a class file where flags can be applied.
75|AccessFlags|interface in java.lang.classfile|java.base/java/lang/classfile/AccessFlags.html|Models the access flags for a class, method, or field.
76|AccessibilityEventMonitor|class in com.sun.java.accessibility.util|jdk.accessibility/com/sun/java/accessibility/util/AccessibilityEventMonitor.html|AccessibilityEventMonitor implements a PropertyChange listener on every UI object that implements interface Accessible in the Java Virtual Machine.
77|AccessibilityListenerList|class in com.sun.java.accessibility.util|jdk.accessibility/com/sun/java/accessibility/util/AccessibilityListenerList.html|The AccessibilityListenerList is a copy of the Swing EventListerList class.
78|AccessibilityProvider|class in javax.accessibility|java.desktop/javax/accessibility/AccessibilityProvider.html|Service Provider Interface (SPI) for Assistive Technology.
79|Accessible|interface in com.sun.jdi|jdk.jdi/com/sun/jdi/Accessible.html|Provides information on the accessibility of a type or type component.
80|Accessible|interface in javax.accessibility|java.desktop/javax/accessibility/Accessible.html|Interface Accessible is the main interface for the accessibility package.
81|AccessibleAction|interface in javax.accessibility|java.desktop/javax/accessibility/AccessibleAction.html|The AccessibleAction interface should be supported by any object that can perform one or more actions.
82|AccessibleAttributeSequence|class in javax.accessibility|java.desktop/javax/accessibility/AccessibleAttributeSequence.html|This class collects together the span of text that share the same contiguous set of attributes, along with that set of attributes.
83|AccessibleBundle|class in javax.accessibility|java.desktop/javax/accessibility/AccessibleBundle.html|Base class used to maintain a strongly typed enumeration.
